squad,year,matches_played,goals
Argentina,2019,3,2
Australia,2019,4,8
Brazil,2019,4,7
Cameroon,2019,4,3
Canada,2019,4,4
Chile,2019,3,1
China,2019,4,1
England,2019,7,13
France,2019,5,10
Germany,2019,5,10
Italy,2019,5,9
Jamaica,2019,3,1
Japan,2019,4,3
Korea Rep,2019,3,1
Netherlands,2019,7,11
New Zealand,2019,3,0
Nigeria,2019,4,1
Norway,2019,5,5
Scotland,2019,3,5
South Africa,2019,3,1
Spain,2019,4,4
Sweden,2019,7,12
Thailand,2019,3,1
United States,2019,7,25
Australia,2015,5,5
Brazil,2015,4,4
Cameroon,2015,4,9
Canada,2015,5,4
China,2015,5,4
Colombia,2015,4,4
Costa Rica,2015,3,3
Ivory Coast,2015,3,3
Ecuador,2015,3,1
England,2015,7,10
France,2015,5,9
Germany,2015,7,20
Japan,2015,7,9
Korea Rep,2015,4,4
Mexico,2015,3,2
Netherlands,2015,4,3
New Zealand,2015,3,2
Nigeria,2015,3,3
Norway,2015,4,9
Spain,2015,3,2
Sweden,2015,4,4
Switzerland,2015,4,9
Thailand,2015,3,3
United States,2015,7,14
Australia,2011,4,6
Brazil,2011,4,9
Canada,2011,3,1
Colombia,2011,3,0
England,2011,4,6
Equ. Guinea,2011,3,2
France,2011,6,10
Germany,2011,4,7
Japan,2011,6,12
Korea DPR,2011,3,0
Mexico,2011,3,3
New Zealand,2011,3,4
Nigeria,2011,3,1
Norway,2011,3,2
Sweden,2011,6,10
United States,2011,6,12
Argentina,2007,3,1
Australia,2007,4,9
Brazil,2007,6,16
Canada,2007,3,7
China,2007,4,5
Denmark,2007,3,4
England,2007,4,7
Germany,2007,6,20
Ghana,2007,3,3
Japan,2007,3,3
Korea DPR,2007,4,5
New Zealand,2007,3,0
Nigeria,2007,3,1
Norway,2007,6,12
Sweden,2007,3,3
United States,2007,6,12
Argentina,2003,3,1
Australia,2003,3,3
Brazil,2003,4,9
Canada,2003,6,10
China,2003,4,3
France,2003,3,2
Germany,2003,6,25
Ghana,2003,3,2
Japan,2003,3,7
Korea DPR,2003,3,3
Korea Rep,2003,3,1
Nigeria,2003,3,0
Norway,2003,4,10
Russia,2003,4,5
Sweden,2003,6,10
United States,2003,6,15
Australia,1999,3,3
Brazil,1999,6,16
Canada,1999,3,3
China,1999,6,19
Denmark,1999,3,1
Germany,1999,4,11
Ghana,1999,3,1
Italy,1999,3,3
Japan,1999,3,1
Korea DPR,1999,3,4
Mexico,1999,3,1
Nigeria,1999,4,8
Norway,1999,6,15
Russia,1999,4,10
Sweden,1999,4,7
United States,1999,6,17
Australia,1995,3,3
Brazil,1995,3,3
Canada,1995,3,5
China,1995,6,11
Denmark,1995,4,7
England,1995,4,6
Germany,1995,6,13
Japan,1995,4,2
Nigeria,1995,3,5
Norway,1995,6,23
Sweden,1995,4,6
United States,1995,6,15
Brazil,1991,3,1
China,1991,4,10
Chinese Taipei,1991,4,2
Denmark,1991,4,7
Germany,1991,6,13
Italy,1991,4,8
Japan,1991,3,0
New Zealand,1991,3,1
Nigeria,1991,3,0
Norway,1991,6,13
Sweden,1991,6,17
United States,1991,6,25
